GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit,Admitted,Year,Stream,Cluster
301,102,5,1.0,3.0,7.27,0,0.51,0,2024,ME,High Profile
335,97,1,4.5,5.0,6.42,0,0.43,0,2021,CE,Low Profile
295,108,4,1.5,3.5,7.66,1,0.69,1,2024,DS,Mid Profile
316,92,1,4.0,4.5,6.5,0,0.58,0,2019,ME,Low Profile
313,100,2,3.5,1.5,7.64,1,0.68,1,2018,EE,Mid Profile
306,105,1,2.0,1.5,8.23,0,0.63,0,2024,DS,High Profile
291,119,1,2.5,5.0,9.72,0,0.85,1,2023,DS,Low Profile
329,110,1,1.5,3.0,6.14,0,0.46,0,2024,CE,Low Profile
307,117,1,5.0,3.5,8.49,1,0.73,1,2020,CE,Mid Profile
323,101,5,2.0,1.5,7.83,0,0.59,0,2020,CS,High Profile
310,105,1,2.0,2.0,6.08,1,0.58,0,2022,ME,Mid Profile
309,104,2,3.0,4.5,7.0,0,0.4,0,2021,CS,Low Profile
335,117,4,4.0,2.0,6.47,0,0.57,0,2019,ME,High Profile
294,119,5,3.0,3.5,6.87,1,0.59,0,2020,DS,Mid Profile
327,119,5,3.0,2.0,7.1,1,0.62,0,2022,EE,Mid Profile
328,113,1,3.5,2.0,7.61,1,0.76,1,2018,DS,Mid Profile
309,106,5,4.5,1.5,8.12,0,0.63,0,2020,CS,High Profile
303,107,4,2.5,5.0,6.0,0,0.42,0,2020,CS,Low Profile
290,120,1,4.5,5.0,6.65,1,0.56,0,2018,DS,Mid Profile
337,100,3,4.5,1.5,6.37,0,0.52,0,2018,CS,High Profile
338,102,5,5.0,2.5,8.2,0,0.66,1,2021,CE,High Profile
302,118,2,5.0,3.5,7.32,1,0.55,0,2018,CE,Mid Profile
291,103,1,4.5,2.5,8.19,1,0.65,1,2020,EE,Mid Profile
296,98,5,2.0,4.0,6.89,0,0.6,0,2021,CS,Low Profile
293,108,5,4.0,2.0,6.1,1,0.53,0,2024,EE,Mid Profile
332,101,5,4.0,1.0,9.77,1,0.91,1,2018,CS,Mid Profile
335,117,5,2.0,2.5,6.43,0,0.52,0,2021,CE,High Profile
297,118,5,4.0,3.5,6.51,1,0.54,0,2018,DS,Mid Profile
328,100,3,2.0,1.5,6.59,1,0.66,1,2021,DS,Mid Profile
299,107,1,3.0,4.5,9.93,0,0.8,1,2021,DS,Low Profile
308,120,4,4.5,1.0,8.47,0,0.69,1,2023,CE,High Profile
320,113,2,1.5,1.0,8.44,0,0.75,1,2021,DS,High Profile
326,98,3,2.5,3.0,9.95,1,0.84,1,2024,CE,Mid Profile
334,109,4,4.5,3.0,6.35,0,0.47,0,2018,CE,Low Profile
292,109,5,3.0,2.0,9.9,0,0.83,1,2018,DS,High Profile
300,110,2,5.0,2.0,6.82,0,0.53,0,2018,EE,High Profile
304,92,2,1.0,1.0,8.49,0,0.68,1,2020,ME,High Profile
305,100,4,4.0,3.5,7.68,0,0.72,1,2019,DS,Low Profile
340,116,1,4.5,2.5,7.54,1,0.69,1,2018,EE,Mid Profile
329,98,3,5.0,1.5,9.72,1,0.73,1,2019,EE,Mid Profile
306,100,4,1.5,2.5,6.6,0,0.53,0,2024,CS,High Profile
339,101,3,5.0,5.0,9.99,0,0.84,1,2023,EE,Low Profile
315,97,2,2.5,2.0,7.52,0,0.59,0,2018,ME,High Profile
315,96,5,2.5,5.0,8.6,1,0.77,1,2024,DS,Mid Profile
312,102,2,2.5,2.0,9.87,1,0.87,1,2019,CS,Mid Profile
297,117,4,3.5,1.5,6.23,1,0.54,0,2020,CE,Mid Profile
337,92,3,3.5,2.0,9.69,1,0.89,1,2020,CE,Mid Profile
290,100,1,3.0,2.0,8.27,0,0.61,0,2020,DS,High Profile
298,93,3,1.0,1.5,8.82,0,0.65,1,2023,CE,High Profile
301,108,1,5.0,3.5,6.6,0,0.66,1,2022,CS,Low Profile
304,99,5,1.5,2.5,8.13,1,0.67,1,2022,ME,Mid Profile
296,114,4,1.0,4.0,8.69,0,0.72,1,2022,DS,Low Profile
290,108,2,3.5,3.0,7.82,0,0.53,0,2023,DS,Low Profile
324,114,3,2.5,2.5,6.62,1,0.59,0,2019,CE,Mid Profile
339,110,4,3.5,3.0,6.98,1,0.57,0,2020,DS,Mid Profile
296,104,2,4.5,1.5,9.42,0,0.74,1,2018,CE,High Profile
305,116,2,1.0,4.0,6.14,1,0.58,0,2022,CS,Mid Profile
315,105,3,2.0,1.0,8.84,1,0.81,1,2021,DS,Mid Profile
337,119,2,3.0,4.0,10.0,1,0.94,1,2022,CS,Mid Profile
325,120,4,4.5,5.0,6.03,1,0.44,0,2021,EE,Mid Profile
329,109,1,3.5,4.0,6.64,0,0.62,0,2019,EE,Low Profile
319,111,5,2.5,3.0,8.7,1,0.72,1,2018,CE,Mid Profile
311,99,2,3.5,2.0,6.24,1,0.6,0,2024,CS,Mid Profile
300,115,3,5.0,4.5,8.36,1,0.79,1,2020,CE,Mid Profile
334,111,1,3.0,2.0,8.74,1,0.81,1,2018,DS,Mid Profile
331,118,2,4.5,3.0,8.35,1,0.7,1,2020,CE,Mid Profile
291,99,4,4.5,4.0,7.46,1,0.64,0,2024,EE,Mid Profile
326,114,2,2.0,5.0,8.79,1,0.76,1,2019,DS,Mid Profile
294,105,1,2.0,5.0,8.38,1,0.72,1,2024,EE,Mid Profile
327,97,3,4.0,1.0,6.83,1,0.57,0,2021,CE,Mid Profile
332,96,1,1.5,5.0,8.25,0,0.54,0,2024,ME,Low Profile
296,108,2,2.5,1.5,9.53,1,0.9,1,2022,CS,Mid Profile
312,101,3,2.0,3.5,8.67,0,0.7,1,2018,CS,Low Profile
296,94,3,3.5,5.0,7.89,1,0.64,0,2021,CS,Mid Profile
318,104,4,2.0,3.5,7.29,1,0.61,0,2020,DS,Mid Profile
337,110,4,3.5,5.0,6.34,1,0.58,0,2019,DS,Mid Profile
294,101,5,5.0,2.5,6.98,1,0.55,0,2021,ME,Mid Profile
310,119,1,4.5,2.0,6.04,0,0.34,0,2018,DS,High Profile
339,114,2,5.0,2.0,9.95,0,0.87,1,2022,CS,High Profile
305,106,1,1.0,2.5,6.89,1,0.61,0,2023,DS,Mid Profile
296,119,1,3.0,4.0,9.26,1,0.81,1,2018,EE,Mid Profile
314,104,2,1.5,3.0,6.67,1,0.5,0,2021,CS,Mid Profile
315,96,3,5.0,4.0,7.13,1,0.61,0,2022,CE,Mid Profile
323,93,5,4.0,2.5,7.67,1,0.59,0,2018,EE,Mid Profile
306,119,4,2.0,2.0,7.3,0,0.54,0,2020,EE,High Profile
338,119,4,3.5,1.5,9.19,0,0.75,1,2019,CE,High Profile
316,113,4,3.5,3.0,9.83,1,0.94,1,2018,EE,Mid Profile
304,94,1,3.0,5.0,9.5,1,0.79,1,2023,CE,Mid Profile
338,100,5,3.0,4.5,6.61,1,0.56,0,2021,CS,Mid Profile
337,93,5,1.0,2.0,9.11,1,0.92,1,2023,CS,Mid Profile
315,93,1,3.0,3.0,6.59,1,0.56,0,2022,EE,Mid Profile
291,99,3,2.5,4.0,9.65,1,0.86,1,2024,CE,Mid Profile
320,108,5,4.5,3.5,8.07,1,0.7,1,2024,EE,Mid Profile
318,93,3,4.5,1.0,7.35,0,0.54,0,2022,CS,High Profile
297,120,5,4.0,3.5,6.63,1,0.47,0,2020,CE,Mid Profile
322,105,5,1.0,1.0,6.05,1,0.58,0,2020,ME,Mid Profile
332,99,3,4.5,1.5,6.99,0,0.57,0,2023,ME,High Profile
295,106,1,2.5,3.5,9.66,1,0.83,1,2020,EE,Mid Profile
326,114,2,2.5,1.0,9.19,1,0.82,1,2021,CS,Mid Profile
297,101,2,5.0,2.5,9.88,1,0.9,1,2019,CS,Mid Profile
328,93,3,4.5,3.5,6.4,0,0.4,0,2024,CE,Low Profile
311,93,3,1.0,3.5,8.37,1,0.69,1,2022,CS,Mid Profile
290,116,3,2.5,3.0,7.03,0,0.49,0,2020,EE,Low Profile
339,95,1,4.0,1.0,8.17,1,0.8,1,2022,DS,Mid Profile
298,110,2,3.0,4.5,7.28,1,0.67,1,2020,EE,Mid Profile
320,103,4,2.0,5.0,7.13,1,0.5,0,2019,CE,Mid Profile
299,114,1,3.0,4.5,8.3,1,0.64,0,2024,EE,Mid Profile
337,93,2,4.5,4.0,6.73,0,0.51,0,2024,DS,Low Profile
327,118,5,2.0,2.5,7.88,1,0.69,1,2023,DS,Mid Profile
331,112,1,4.0,4.5,8.6,1,0.69,1,2020,ME,Mid Profile
312,105,3,4.0,3.0,6.51,0,0.61,0,2019,CE,Low Profile
313,98,2,4.5,1.5,9.72,0,0.81,1,2018,ME,High Profile
322,120,1,2.0,4.5,8.02,0,0.68,1,2023,DS,Low Profile
330,100,3,1.5,2.0,9.28,1,0.78,1,2020,EE,Mid Profile
333,106,3,3.0,5.0,8.62,1,0.81,1,2024,DS,Mid Profile
290,103,1,3.0,2.5,8.84,1,0.74,1,2024,CE,Mid Profile
323,98,1,2.5,4.5,8.86,1,0.75,1,2018,CE,Mid Profile
295,104,1,4.5,3.0,9.5,0,0.8,1,2024,EE,Low Profile
304,96,4,4.5,3.0,8.45,1,0.64,0,2018,DS,Mid Profile
332,92,5,2.0,2.0,7.11,0,0.65,1,2021,CE,High Profile
302,100,1,4.5,4.5,6.4,0,0.48,0,2021,DS,Low Profile
330,95,2,2.0,1.0,8.43,0,0.75,1,2024,DS,High Profile
313,104,2,2.5,3.0,6.27,0,0.42,0,2022,CS,Low Profile
301,117,2,1.0,2.5,6.97,1,0.55,0,2024,DS,Mid Profile
307,96,2,2.5,3.0,6.24,1,0.45,0,2022,DS,Mid Profile
317,92,1,5.0,2.0,8.2,1,0.71,1,2023,EE,Mid Profile
329,95,3,2.5,3.5,6.64,0,0.51,0,2023,DS,Low Profile
320,106,2,4.0,2.5,8.44,0,0.66,1,2024,ME,High Profile
337,99,2,1.0,1.5,9.16,0,0.7,1,2020,EE,High Profile
334,106,2,3.5,1.5,9.29,1,0.76,1,2020,EE,Mid Profile
328,92,5,2.5,4.0,7.24,0,0.57,0,2024,EE,Low Profile
320,101,4,4.0,2.0,8.2,0,0.64,0,2023,CS,High Profile
304,103,3,5.0,2.0,8.25,1,0.68,1,2024,CE,Mid Profile
311,104,2,3.0,3.5,7.89,1,0.77,1,2022,CE,Mid Profile
296,107,5,1.0,2.0,8.62,1,0.76,1,2024,CE,Mid Profile
309,114,5,3.0,2.5,6.84,0,0.62,0,2023,ME,High Profile
337,105,1,1.5,2.0,9.92,1,0.85,1,2023,EE,Mid Profile
311,116,5,3.0,2.5,6.39,0,0.53,0,2019,CE,High Profile
295,107,4,1.0,4.0,9.32,1,0.82,1,2021,DS,Mid Profile
323,99,1,3.5,3.0,8.38,0,0.58,0,2023,CS,Low Profile
339,98,4,2.0,5.0,6.98,1,0.69,1,2023,EE,Mid Profile
334,101,1,1.5,4.0,8.98,1,0.78,1,2024,DS,Mid Profile
303,109,1,1.0,1.0,6.34,1,0.57,0,2020,DS,Mid Profile
313,99,1,4.5,2.5,9.1,0,0.69,1,2020,DS,High Profile
317,118,3,4.5,2.0,8.36,0,0.69,1,2024,CS,High Profile
302,105,4,4.5,3.5,6.44,1,0.5,0,2024,ME,Mid Profile
303,117,3,1.0,2.0,6.32,1,0.62,0,2019,CS,Mid Profile
302,111,1,2.5,5.0,9.0,0,0.75,1,2020,DS,Low Profile
340,101,1,5.0,2.0,7.17,0,0.58,0,2024,ME,High Profile
328,98,5,3.5,3.0,9.56,0,0.88,1,2019,EE,High Profile
332,113,5,1.5,1.5,9.05,0,0.84,1,2023,CS,High Profile
331,101,4,1.5,5.0,8.79,0,0.77,1,2018,CE,Low Profile
338,99,1,2.0,5.0,7.11,0,0.48,0,2019,DS,Low Profile
295,118,5,5.0,4.5,8.84,0,0.71,1,2023,DS,Low Profile
334,105,4,1.5,2.5,9.79,0,0.78,1,2022,DS,High Profile
293,93,3,5.0,1.0,6.37,1,0.56,0,2021,DS,Mid Profile
314,106,1,4.0,4.0,7.3,0,0.58,0,2023,CE,Low Profile
320,105,5,5.0,2.5,6.94,0,0.48,0,2020,DS,High Profile
308,117,3,4.5,5.0,7.57,0,0.61,0,2021,DS,Low Profile
297,112,1,2.0,4.0,8.97,1,0.7,1,2022,ME,Mid Profile
299,97,2,4.5,3.0,7.9,0,0.61,0,2023,CE,Low Profile
332,96,3,1.5,5.0,8.28,0,0.58,0,2020,DS,Low Profile
306,109,1,2.0,4.5,7.26,0,0.59,0,2022,CS,Low Profile
305,93,2,1.5,3.0,6.57,0,0.51,0,2021,CE,Low Profile
337,101,3,1.5,1.0,7.07,0,0.67,1,2021,EE,High Profile
297,96,5,1.0,1.0,9.44,0,0.82,1,2024,CS,High Profile
336,92,1,1.5,2.5,8.41,1,0.7,1,2020,CS,Mid Profile
336,118,3,1.5,3.5,7.51,0,0.67,1,2022,CS,Low Profile
320,94,5,2.5,1.0,9.16,0,0.68,1,2024,DS,High Profile
298,92,5,1.0,1.5,6.26,1,0.47,0,2023,CE,Mid Profile
297,119,5,1.0,4.0,7.02,1,0.64,0,2024,CS,Mid Profile
304,97,1,5.0,4.0,6.92,1,0.46,0,2022,CE,Mid Profile
319,115,5,1.0,1.0,9.94,0,0.85,1,2019,CE,High Profile
297,92,5,1.0,3.0,8.82,0,0.66,1,2024,ME,High Profile
313,96,2,1.0,1.0,8.47,0,0.68,1,2022,CE,High Profile
295,95,3,1.5,4.0,6.02,1,0.43,0,2019,DS,Mid Profile
317,112,3,3.0,4.5,6.74,0,0.56,0,2020,ME,Low Profile
291,109,3,4.5,4.5,8.54,1,0.75,1,2019,CE,Mid Profile
326,105,2,4.0,3.5,7.52,1,0.73,1,2023,ME,Mid Profile
292,99,5,3.5,3.5,9.7,1,0.86,1,2018,EE,Mid Profile
299,94,5,1.0,5.0,9.06,0,0.7,1,2023,DS,Low Profile
298,108,2,4.0,3.5,7.79,1,0.66,1,2021,ME,Mid Profile
332,98,5,1.0,3.0,9.0,0,0.68,1,2018,CE,High Profile
292,109,2,3.5,4.0,9.9,1,0.89,1,2022,CE,Mid Profile
311,111,4,2.5,3.5,7.84,1,0.73,1,2023,CE,Mid Profile
320,116,3,4.5,4.5,8.57,1,0.9,1,2023,CE,Mid Profile
316,106,3,2.0,3.0,9.67,0,0.77,1,2021,CE,High Profile
324,92,1,3.5,4.5,6.99,1,0.57,0,2020,ME,Mid Profile
330,100,4,2.5,1.0,9.55,0,0.77,1,2019,CE,High Profile
310,116,2,3.0,1.0,6.39,0,0.51,0,2018,ME,High Profile
332,107,2,5.0,1.0,8.59,0,0.73,1,2020,EE,High Profile
306,109,1,4.0,3.5,9.13,1,0.79,1,2022,CE,Mid Profile
340,105,5,2.5,4.0,8.46,1,0.82,1,2018,DS,Mid Profile
315,96,1,3.0,1.5,7.98,0,0.59,0,2024,CE,High Profile
327,118,4,4.0,1.5,8.47,1,0.82,1,2022,CE,Mid Profile
334,114,5,2.5,4.5,6.61,1,0.63,0,2020,DS,Mid Profile
330,120,1,1.5,4.0,6.86,0,0.55,0,2024,EE,Low Profile
333,116,3,3.0,3.5,7.08,1,0.62,0,2019,CS,Mid Profile
317,100,3,1.0,3.0,8.39,1,0.86,1,2024,EE,Mid Profile
292,99,2,1.5,2.5,7.77,0,0.56,0,2019,CE,High Profile
315,99,4,2.5,1.0,6.98,0,0.56,0,2020,DS,High Profile
299,118,3,4.5,1.5,9.53,1,0.81,1,2020,ME,Mid Profile
335,108,3,4.5,5.0,7.5,0,0.71,1,2024,CE,Low Profile
302,105,3,2.0,2.5,7.78,1,0.72,1,2019,CS,Mid Profile
301,120,5,2.5,4.0,7.64,0,0.6,0,2024,CE,Low Profile
302,109,4,1.5,4.0,6.73,0,0.56,0,2020,CE,Low Profile
322,118,2,4.0,2.0,8.93,0,0.76,1,2019,ME,High Profile
319,120,5,2.0,1.5,7.79,1,0.68,1,2022,CE,Mid Profile
338,94,5,4.5,4.0,6.07,1,0.57,0,2022,ME,Mid Profile
311,102,5,4.5,1.0,9.86,1,0.9,1,2020,ME,Mid Profile
304,113,4,4.0,3.0,9.26,0,0.79,1,2018,CE,High Profile
292,115,2,2.0,4.5,8.89,1,0.78,1,2020,CE,Mid Profile
290,96,4,5.0,4.0,9.48,1,0.85,1,2021,EE,Mid Profile
309,101,2,4.0,4.0,9.63,0,0.8,1,2018,EE,Low Profile
337,107,2,3.5,1.0,7.35,1,0.65,1,2018,ME,Mid Profile
316,115,3,4.5,1.5,8.44,0,0.66,1,2024,EE,High Profile
335,95,5,4.5,2.0,8.44,1,0.84,1,2018,EE,Mid Profile
295,109,3,1.0,2.0,7.07,1,0.55,0,2020,EE,Mid Profile
294,100,2,4.5,1.5,6.89,0,0.54,0,2023,EE,High Profile
332,98,3,4.0,5.0,6.46,0,0.48,0,2020,ME,Low Profile
295,106,2,1.5,1.5,8.64,1,0.84,1,2021,ME,Mid Profile
292,104,4,2.0,4.0,9.12,0,0.7,1,2018,CE,Low Profile
310,110,2,4.0,3.5,9.04,0,0.7,1,2023,EE,Low Profile
337,101,3,1.5,3.5,7.27,0,0.53,0,2022,DS,Low Profile
325,115,2,3.0,1.5,6.82,1,0.62,0,2023,ME,Mid Profile
295,94,2,4.0,2.0,7.81,0,0.53,0,2024,CE,High Profile
332,116,5,3.5,3.5,8.19,0,0.67,1,2020,CS,Low Profile
333,92,2,5.0,2.0,9.68,1,0.73,1,2018,CS,Mid Profile
330,113,1,1.5,4.0,9.5,0,0.81,1,2020,ME,Low Profile
336,102,2,2.0,1.0,9.66,1,0.83,1,2019,EE,Mid Profile
302,103,3,5.0,1.0,9.4,1,0.74,1,2021,ME,Mid Profile
339,92,1,3.5,4.0,9.86,1,0.92,1,2019,CS,Mid Profile
306,112,2,2.0,3.5,7.86,0,0.56,0,2024,ME,Low Profile
330,96,1,2.0,1.0,6.19,1,0.56,0,2022,CE,Mid Profile
319,111,3,2.5,5.0,6.33,1,0.51,0,2019,CE,Mid Profile
329,113,4,3.0,1.0,7.56,0,0.71,1,2024,EE,High Profile
322,116,5,2.0,5.0,7.03,0,0.62,0,2023,EE,Low Profile
322,112,2,3.5,4.0,6.68,0,0.47,0,2021,ME,Low Profile
321,100,5,3.0,5.0,9.81,0,0.78,1,2019,ME,Low Profile
329,113,2,3.5,5.0,6.78,0,0.57,0,2020,CE,Low Profile
327,115,4,1.5,2.0,9.84,0,0.83,1,2022,EE,High Profile
296,101,3,3.5,4.0,9.04,0,0.72,1,2023,CE,Low Profile
332,95,4,5.0,1.5,8.56,0,0.77,1,2019,DS,High Profile
317,117,4,1.5,3.0,8.7,0,0.69,1,2023,EE,High Profile
306,96,3,2.0,2.0,7.33,1,0.63,0,2019,DS,Mid Profile
316,109,2,4.0,3.0,8.59,0,0.75,1,2019,EE,Low Profile
339,98,3,3.5,4.5,6.75,0,0.57,0,2021,EE,Low Profile
333,95,5,4.0,2.5,9.75,0,0.81,1,2019,CE,High Profile
332,114,5,3.5,1.0,7.21,0,0.58,0,2020,CE,High Profile
313,96,5,4.0,2.0,7.02,0,0.46,0,2020,ME,High Profile
329,111,1,3.5,4.5,8.84,0,0.67,1,2019,EE,Low Profile
309,112,3,1.0,3.0,8.63,1,0.78,1,2023,CS,Mid Profile
324,93,1,4.0,3.5,7.81,1,0.65,1,2020,DS,Mid Profile
322,97,4,3.0,2.5,8.53,1,0.75,1,2022,DS,Mid Profile
302,115,5,1.0,2.0,6.64,1,0.64,0,2023,DS,Mid Profile
303,106,1,2.5,3.5,8.69,1,0.69,1,2022,ME,Mid Profile
293,95,4,2.5,3.5,7.08,0,0.53,0,2019,DS,Low Profile
297,120,5,1.0,5.0,7.09,1,0.64,0,2023,ME,Mid Profile
312,99,5,5.0,3.5,6.65,1,0.54,0,2019,CS,Mid Profile
314,92,2,2.0,5.0,7.33,1,0.69,1,2019,CS,Mid Profile
298,118,1,2.0,4.5,7.33,1,0.68,1,2024,EE,Mid Profile
311,92,5,2.5,1.0,7.82,0,0.64,0,2020,EE,High Profile
320,108,5,4.5,2.5,6.76,1,0.7,1,2022,DS,Mid Profile
301,120,3,4.0,2.5,6.77,1,0.51,0,2018,EE,Mid Profile
307,108,5,4.0,1.0,8.17,0,0.67,1,2022,CE,High Profile
308,108,1,2.0,1.5,6.52,0,0.51,0,2024,EE,High Profile
315,103,4,4.5,4.0,8.76,1,0.73,1,2022,CE,Mid Profile
308,95,1,4.5,2.5,9.78,0,0.81,1,2022,ME,High Profile
327,108,5,3.0,1.5,7.71,0,0.58,0,2023,CS,High Profile
306,118,4,3.0,2.0,9.6,0,0.85,1,2020,ME,High Profile
312,94,5,1.0,2.0,6.39,1,0.6,0,2020,CS,Mid Profile
309,117,3,4.0,1.5,6.17,0,0.5,0,2018,DS,High Profile
299,104,1,5.0,1.0,8.89,0,0.61,0,2022,CE,High Profile
324,107,1,3.0,4.0,9.04,0,0.69,1,2023,DS,Low Profile
302,96,2,3.0,4.5,9.37,0,0.79,1,2023,DS,Low Profile
305,110,4,3.0,3.0,6.23,1,0.54,0,2023,EE,Mid Profile
330,97,1,1.0,3.5,9.11,1,0.65,1,2018,CE,Mid Profile
338,99,5,3.5,5.0,7.51,1,0.73,1,2022,CS,Mid Profile
324,112,2,4.0,4.5,7.21,1,0.64,0,2023,DS,Mid Profile
336,93,3,5.0,1.0,6.69,1,0.53,0,2019,CE,Mid Profile
333,104,2,5.0,5.0,9.98,0,0.89,1,2021,CE,Low Profile
314,109,3,3.0,1.0,6.25,1,0.5,0,2024,DS,Mid Profile
329,95,3,5.0,1.0,9.31,0,0.73,1,2020,DS,High Profile
306,100,1,3.0,2.5,8.56,1,0.75,1,2023,DS,Mid Profile
313,101,3,3.5,4.0,8.94,1,0.88,1,2021,CS,Mid Profile
317,111,4,3.5,1.0,8.85,0,0.83,1,2022,CS,High Profile
338,120,5,5.0,2.0,9.43,1,0.89,1,2022,DS,Mid Profile
333,116,2,4.0,2.0,6.74,1,0.62,0,2022,EE,Mid Profile
314,97,5,1.5,2.5,6.0,0,0.5,0,2023,ME,High Profile
323,92,5,1.0,5.0,8.39,1,0.67,1,2024,CS,Mid Profile
300,93,5,2.5,2.0,7.42,0,0.62,0,2020,CE,High Profile
331,109,2,3.0,1.5,6.5,0,0.47,0,2024,DS,High Profile
318,96,5,4.0,1.5,6.74,0,0.54,0,2022,DS,High Profile
317,98,3,3.0,1.5,7.33,0,0.56,0,2022,ME,High Profile
329,116,1,3.0,1.5,6.28,1,0.57,0,2020,CE,Mid Profile
322,117,2,5.0,3.5,6.23,1,0.55,0,2020,ME,Mid Profile
293,116,4,2.5,2.5,9.66,1,0.7,1,2022,ME,Mid Profile
304,99,1,3.0,3.0,7.25,1,0.62,0,2020,ME,Mid Profile
299,109,3,3.5,4.5,9.93,1,0.92,1,2020,DS,Mid Profile
327,109,4,3.0,3.5,9.86,0,0.86,1,2023,EE,Low Profile
291,97,1,5.0,1.5,6.57,0,0.47,0,2020,ME,High Profile
300,108,3,5.0,2.5,8.86,1,0.87,1,2022,CE,Mid Profile
320,107,2,3.0,2.0,8.4,1,0.75,1,2018,ME,Mid Profile
325,103,3,3.0,4.5,8.76,0,0.74,1,2018,CS,Low Profile
315,113,2,3.5,2.0,6.38,1,0.61,0,2023,EE,Mid Profile
333,111,5,1.5,1.5,6.75,0,0.57,0,2018,CE,High Profile
336,107,1,2.5,4.0,6.31,0,0.44,0,2023,CE,Low Profile
296,113,5,1.5,2.5,8.42,0,0.57,0,2024,CE,High Profile
338,114,4,1.5,1.0,9.95,0,0.83,1,2021,DS,High Profile
321,108,5,1.0,4.0,8.69,0,0.77,1,2024,CE,Low Profile
322,99,5,3.5,1.5,8.84,1,0.77,1,2020,ME,Mid Profile
294,113,1,1.0,4.5,9.94,1,0.92,1,2024,EE,Mid Profile
321,112,5,3.5,4.5,8.71,1,0.8,1,2019,EE,Mid Profile
327,120,3,2.5,2.5,6.16,0,0.56,0,2020,DS,High Profile
319,96,5,2.5,3.5,9.47,1,0.83,1,2020,ME,Mid Profile
294,104,5,4.0,3.5,7.46,1,0.67,1,2023,CE,Mid Profile
316,118,3,3.0,3.5,6.02,0,0.5,0,2018,CS,Low Profile
337,106,2,4.0,1.0,8.03,0,0.74,1,2023,CS,High Profile
326,119,1,4.0,2.0,9.75,0,0.73,1,2018,EE,High Profile
297,92,1,1.0,1.5,7.03,1,0.55,0,2020,CS,Mid Profile
338,93,2,1.5,4.0,7.97,1,0.73,1,2022,CE,Mid Profile
338,115,5,3.5,1.0,6.7,1,0.69,1,2019,CE,Mid Profile
298,102,3,5.0,3.0,6.23,1,0.53,0,2021,ME,Mid Profile
330,107,3,1.5,4.0,6.32,1,0.53,0,2024,EE,Mid Profile
310,104,2,1.0,5.0,8.91,0,0.76,1,2023,ME,Low Profile
320,103,3,5.0,2.0,9.46,1,0.89,1,2018,CS,Mid Profile
312,119,4,5.0,1.0,6.57,0,0.51,0,2022,ME,High Profile
329,94,5,1.5,4.0,7.15,1,0.64,0,2022,CS,Mid Profile
340,114,4,2.5,1.0,6.78,1,0.68,1,2018,CS,Mid Profile
330,117,4,3.5,1.0,6.11,1,0.65,1,2022,CS,Mid Profile
337,111,5,1.5,5.0,8.21,0,0.73,1,2021,CS,Low Profile
338,103,3,2.0,4.5,8.8,1,0.79,1,2022,ME,Mid Profile
294,96,5,2.5,4.0,8.59,1,0.74,1,2020,ME,Mid Profile
302,111,2,3.5,4.5,7.55,1,0.68,1,2019,CE,Mid Profile
326,105,1,2.0,1.0,8.22,1,0.71,1,2023,ME,Mid Profile
320,96,3,2.5,1.0,6.38,0,0.49,0,2023,CS,High Profile
292,102,1,2.0,2.0,6.62,0,0.43,0,2019,CS,High Profile
294,119,1,4.0,1.0,9.73,0,0.88,1,2019,CE,High Profile
316,99,5,1.5,4.5,9.05,1,0.74,1,2022,DS,Mid Profile
321,97,4,2.0,1.0,9.69,0,0.78,1,2023,EE,High Profile
298,111,2,2.0,3.0,9.67,1,0.86,1,2019,EE,Mid Profile
298,97,5,5.0,4.5,8.6,0,0.81,1,2019,EE,Low Profile
296,118,1,5.0,4.0,9.71,1,0.84,1,2023,EE,Mid Profile
318,116,2,3.0,2.0,7.67,0,0.59,0,2022,EE,High Profile
290,120,4,1.5,3.0,6.01,1,0.49,0,2024,ME,Mid Profile
319,118,2,4.0,3.0,6.25,0,0.58,0,2023,CE,Low Profile
314,99,4,3.0,4.0,6.44,0,0.34,0,2024,CE,Low Profile
313,98,5,4.5,2.5,6.38,1,0.49,0,2019,DS,Mid Profile
324,101,1,2.5,2.0,7.41,0,0.73,1,2019,EE,High Profile
316,105,1,5.0,4.5,8.81,0,0.74,1,2019,ME,Low Profile
327,117,5,4.5,4.5,9.16,0,0.73,1,2018,EE,Low Profile
328,113,3,2.0,3.0,8.36,1,0.75,1,2023,CS,Mid Profile
336,110,3,4.0,1.0,6.59,0,0.53,0,2022,EE,High Profile
330,117,3,2.0,3.0,8.99,0,0.81,1,2018,EE,High Profile
316,110,3,2.5,5.0,7.42,1,0.75,1,2019,ME,Mid Profile
315,102,4,2.0,5.0,6.05,1,0.54,0,2019,CS,Mid Profile
302,103,3,4.0,2.5,7.12,0,0.52,0,2020,CE,High Profile
320,106,1,2.0,1.5,7.32,0,0.62,0,2021,DS,High Profile
297,94,4,3.5,3.5,7.1,0,0.51,0,2020,DS,Low Profile
337,113,4,3.5,4.5,9.25,0,0.73,1,2024,CS,Low Profile
333,110,1,4.0,5.0,9.04,1,0.71,1,2019,CS,Mid Profile
296,113,2,5.0,1.0,8.78,0,0.63,0,2021,DS,High Profile
330,107,4,1.0,2.0,6.56,1,0.53,0,2021,DS,Mid Profile
295,114,4,5.0,3.0,9.23,1,0.76,1,2020,ME,Mid Profile
